@relation names

@attribute id numeric
@attribute name {"Neela Khan","Bir Bhanu","Robert C. Holte","Michele Sebag","Jorg-Uwe Kietz","Yoshifumi Sakai","Yoav Freund","Jonathan Gratch","Margo Guertin","Huw Roberts","Sally Goldman","Fernando Pereira","Nina Mishra","William A. Greene","Yolanda Gil","Sanjay Jain","Dwight Schrute","Leslie Pack Kaelbling","Yishay Mansour","Michael I. Jordan","Patrick M. Murphy","Karsten Verbeurgt","Gerald F. DeJong","Mandayam T. Suraj","Michael Littman","Cullen Schaffer","Roberto Piola","Nader Bshouty","Kamal M. Ali","Foster J. Provost","Wolfgang Janko","Seth Flanders","Peter Bartlett","Earl S. Harris Jr.","Pascal Koiran","Sandra Panizza","George Berg","Sebastian Seung","Susan L. Epstein","Lance Riley","Jose L. Balcazar","William Sakas","Vijay Raghavan","Bob Evans","Neil Berkman","Masayuki Inaba","Dan Roth","Lisa Hellerstein","Geoffrey Gordon","Paul Vitanyi","Jeff Jackson","Matthias Heger","Nicolo Cesa-Bianchi","David Montgomery","Patricia J. Riddle","Kazushi Ikeda","Pang-Chieh Chen","Paul Utgoff","Joseph O'Sullivan","Toshiyasu Matsushima","Timothy P. Barber","Tal Grossman","Donna Slonim","Tatsuo Unemi","Lorenza Saitta","Jude Shavlik","David Helmbold","Tom Hancock","Gary Weiss","Kenji Yamanishi","Wan P. Chiang","Yoram Singer","Melinda T. Gervasio","Kate Goelz","Roni Khardon","Nikolay Nikolaev","George H. John","Diana Gordon","Moshe Koppel","Andy Bernard","Marcos Salganicoff","David W. Opitz","Mark Changizi","Lars Asker","Dana Ron","Mark Schwabacher","Carl H. Smith","Wee Sun Lee","Mario Marchand","David Pierce","Dan Oblinger","Hiroshi Tanaka","Johanne Morin","Mark W. Craven","Tom Fawcett","John R. Rose","Richard A. Caruana","Barak A. Pearlmutter","Judy A. Franklin","Xuemei Wang","Nitin Indurkhya","Takefumi Yamazaki","Satinder Pal Singh","Ron Kohavi","Michael de la Maza","Robert Sloan","Daniel Kortenkamp","Ricard Gavalda","Joe Suzuki","James S. Royer","Tapio Elomaa","Michael Redmond","Rich Maclin","Jiarong Hong","Janusz Wnek","David B. Skalak","Daniel Hennessy","David Cohn","Merrick L. Furst","Lindley Darden","Wai Lam","Paul W. Goldberg","Jason Catlett","Justinian Rosca","Richard S. Sutton","Michael W. Barley","Leslie Grate","Nathalie Japkowicz","Randolph Jones","John Rachlin","Moshe Leshno","Darko Zupanic","Michael Kearns","Holly Yanco","Tom Bylander","Johannes Furnkranz","Pat Langley","Javed Aslam","Jean Gabriel Ganascia","Sean Slattery","Michael A. meystel","David Gillman","Matevz Kovacic","Bala Kalyanasundaram","Martin Kummer","Manfred Warmuth","David Mathias","Nicolas Fiechter","Aurora Perez","Naoki Abe","Kimmen Sjolander","Jeffery Clouse","Robert P. Daley","William Gasarch","Reinhard Blasig","Malini Bhandaru","Robert Schapire","Gary M. Selzer","Martinch Krikis","John Case","Lance Fortnow","Lorien Y. Pratt","Haralabos Athanassiou","Paul Fischer","Hal Duncan","Von-Wun Soo","Bill Byrne","Creed Bratton","Minoru Asada","Tom M. Mitchell","Jean-Daniel Zucker","Sonya Snedecor","Dana Angluin","Wolfgang Maass","Marko Grobelnik","Mary Soon Lee","Mona Singh","Justin Boyan","Daniel L. Silver","David W. Aha","Robert S. Roos","David Loewenstern","John M. Zelle","Ronitt Rubinfeld","Aaron Feigelson","Harris Drucker","Carla E. Brodley","Maja Mataric","Leonard Pitt","Long-Ji Lin","Welton Becket","Haym Hirsh","Hiroshi Motoda","John Fischer","George A. Drastal","William Cohen","Jing Peng","David Haussler","Joel Ratsaby","Kan Deng","Russell Greiner","Dunja Mladenic","Jong-Hoon Oh","Ken Lang","Bernhard Pfahringer","Ronald L. Rivest","Robert Williamson","David Finton","Mark Staley","Filippo Neri","Jonathan Hodgson","Dennis F. Kibler","Michael J. Donahue","Ed Pednault","Arlindo Oliveira","Irina Tchoumatchenko","Thomas E. Kammeyer","R. Andrew McCallum","Bhaskar Dasgupta","Wray Buntine","Chris Drummond","Claude Sammut","Charles X. Ling","Stefan Kramer","Cristina Baroglio","Philip Chan","Attilio Giordana","Thomas Zeugmann","Shaul Markovitch","Eric Allender","Bruce A. MacDonald","Craig Knoblock","Prasad Tadepalli","Stan Matwin","Stephen Kwek","J. R. Quinlan","Priscilla Rasmussen","Steven Minton","Claudio Facchinetti","Shai Ben-David","Anselm Blumer","Steven W. Norton","R. Bharat Rao","J. Jeffrey Mahoney","Thomas G. Dietterich","Phil Long","Krishnan Pillaipakkamnatt","Usama Fayyad","Grigoris Karakoulas","Drago Indjic","Frank Stephan","Claire Cardie","Andrey Burago","Eddy Mayoraz","Lyle H. Ungar","Thomas Wengerek","Steven Salzberg","Chris Darken","Oded Maron","Chun-Nan Hsu","Jyrki Kivinen","Steve A. Chien","Stephen Muggleton","Sreerama K. Murthy","Emanuel Knill","Sholom Weiss","Thomas G. Spalthoff","Olivier De Vel","Brian D. Davidson","Brian Tester","Michael Scott","Clare Bates Congdon","Klaus P. Jantke","Bradley L. Whitehall","Sridhar Mahadevan","Craig Nevill-Manning","Myriam Abramson","Glenn Silverstein","Avrim Blum","Scott E. Decatur","Chidanand Apte","Zhixiang Chen","Eric Baum","Arun Sharma","Thomas Ellman","Alexander M. Meystel","Eyal Kushilevitz","Ameur Foued","Antoine Cornuejols","Alma Whitten","L. Thorne McCarty","Chen K. Tham","Steffen Lange","Andrew W. Moore","Armand Prieditis","Stuart Russell","Andrew Y. Ng","Efim Kinber"}
@attribute firstNameCharCount numeric
@attribute lastNameCharCount numeric
@attribute nameCharCount numeric
@attribute firstNameFirstChar { "N","B","R","M","J","Y","H","S","F","W","D","L","P","K","G","C","E","V","T","A","X","I","U","O","Z" } 
@attribute firstNameLastChar { "a","r","t","e","i","v","n","o","w","y","m","l","k","d","g","h","b","f","s","u","z", 0 ,"p","c" } 
@attribute lastNameFirstChar { "K","B","H","S","F","G","R","P","M","J","V","D","L","A","E","I","C","U","O","W","Y","N","T","l","Z","m","Q" } 
@attribute lastNameLastChar { "h","e","i","a","r","u","o","c","g","n","y","j","s","t","l","v","k","'","z","b","f","m","d","w","p" } 
@attribute firstNameVowelCount numeric
@attribute lastNameVowelCount numeric
@attribute nameVowelCount numeric
@attribute middleNameCharCount numeric
@attribute middleNameFirstChar {"","C","A","P","I","M","F","T","J","S","L","H","W","R","d","B","G","Y","E","X","K","D"} 
@attribute middleNameLastChar {"C","A","k","I","M","F","T","J","S","L","P","H","W","n","R","l","e","B","Y","E","w","X","t","y","G","K","D","s",""}
@attribute middleNameVowelCount numeric
@attribute label { "winner","loser" } 


@data
108 ,"Ricard Gavalda", 6 , 7 , 13 ,"R","d","G","a", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
109 ,"Joe Suzuki", 3 , 6 , 9 ,"J","e","S","u", 1 , 3 , 4 , 0 ,"","", 0 ,"winner" 
110 ,"James S. Royer", 5 , 5 , 11 ,"J","s","R","r", 2 , 2 , 4 , 1 ,"S","S", 0 ,"winner" 
111 ,"Tapio Elomaa", 5 , 6 , 11 ,"T","o","E","l", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
112 ,"Michael Redmond", 7 , 7 , 14 ,"M","l","R","e", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
113 ,"Rich Maclin", 4 , 6 , 10 ,"R","h","M","a", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
114 ,"Jiarong Hong", 7 , 4 , 11 ,"J","g","H","o", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
115 ,"Janusz Wnek", 6 , 4 , 10 ,"J","z","W","n", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
116 ,"David B. Skalak", 5 , 6 , 12 ,"D","d","S","k", 2 , 2 , 4 , 1 ,"B","B", 0 ,"winner" 
117 ,"Daniel Hennessy", 6 , 8 , 14 ,"D","l","H","e", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
118 ,"David Cohn", 5 , 4 , 9 ,"D","d","C","o", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
119 ,"Merrick L. Furst", 7 , 5 , 13 ,"M","k","F","t", 2 , 1 , 3 , 1 ,"L","L", 0 ,"winner" 
120 ,"Lindley Darden", 7 , 6 , 13 ,"L","y","D","a", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
121 ,"Wai Lam", 3 , 3 , 6 ,"W","i","L","a", 1 , 1 , 2 , 0 ,"","", 0 ,"winner" 
122 ,"Paul W. Goldberg", 4 , 8 , 13 ,"P","l","G","g", 1 , 2 , 3 , 1 ,"W","W", 0 ,"winner" 
123 ,"Jason Catlett", 5 , 7 , 12 ,"J","n","C","a", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
124 ,"Justinian Rosca", 9 , 5 , 14 ,"J","n","R","o", 3 , 2 , 5 , 0 ,"","", 0 ,"winner" 
125 ,"Richard S. Sutton", 7 , 6 , 14 ,"R","d","S","n", 2 , 2 , 4 , 1 ,"S","S", 0 ,"winner" 
126 ,"Michael W. Barley", 7 , 6 , 14 ,"M","l","B","y", 2 , 2 , 4 , 1 ,"W","W", 0 ,"winner" 
127 ,"Leslie Grate", 6 , 5 , 11 ,"L","e","G","r", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
128 ,"Nathalie Japkowicz", 8 , 9 , 17 ,"N","e","J","a", 3 , 3 , 6 , 0 ,"","", 0 ,"winner" 
129 ,"Randolph Jones", 8 , 5 , 13 ,"R","h","J","o", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
130 ,"John Rachlin", 4 , 7 , 11 ,"J","n","R","a", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
131 ,"Moshe Leshno", 5 , 6 , 11 ,"M","e","L","e", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
132 ,"Darko Zupanic", 5 , 7 , 12 ,"D","o","Z","u", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
133 ,"Michael Kearns", 7 , 6 , 13 ,"M","l","K","e", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
134 ,"Holly Yanco", 5 , 5 , 10 ,"H","y","Y","a", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
135 ,"Tom Bylander", 3 , 8 , 11 ,"T","m","B","y", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
136 ,"Johannes Furnkranz", 8 , 9 , 17 ,"J","s","F","u", 3 , 2 , 5 , 0 ,"","", 0 ,"winner" 
137 ,"Pat Langley", 3 , 7 , 10 ,"P","t","L","a", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
138 ,"Javed Aslam", 5 , 5 , 10 ,"J","d","A","s", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
139 ,"Jean Gabriel Ganascia", 4 , 8 , 19 ,"J","n","G","a", 1 , 3 , 6 , 7 ,"G","l", 2 ,"winner" 
140 ,"Sean Slattery", 4 , 8 , 12 ,"S","n","S","l", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
141 ,"Michael A. meystel", 7 , 7 , 15 ,"M","l","m","l", 2 , 2 , 4 , 1 ,"A","A", 0 ,"winner" 
142 ,"David Gillman", 5 , 7 , 12 ,"D","d","G","i", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
143 ,"Matevz Kovacic", 6 , 7 , 13 ,"M","z","K","o", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
144 ,"Bala Kalyanasundaram", 4 , 15 , 19 ,"B","a","K","a", 2 , 6 , 8 , 0 ,"","", 0 ,"winner" 
145 ,"Martin Kummer", 6 , 6 , 12 ,"M","n","K","u", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
146 ,"Manfred Warmuth", 7 , 7 , 14 ,"M","d","W","a", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
147 ,"David Mathias", 5 , 7 , 12 ,"D","d","M","a", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
148 ,"Nicolas Fiechter", 7 , 8 , 15 ,"N","s","F","i", 3 , 2 , 5 , 0 ,"","", 0 ,"winner" 
149 ,"Aurora Perez", 6 , 5 , 11 ,"A","a","P","e", 3 , 2 , 5 , 0 ,"","", 0 ,"winner" 
150 ,"Naoki Abe", 5 , 3 , 8 ,"N","i","A","b", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
151 ,"Kimmen Sjolander", 6 , 9 , 15 ,"K","n","S","j", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
152 ,"Jeffery Clouse", 7 , 6 , 13 ,"J","y","C","l", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
153 ,"Robert P. Daley", 6 , 5 , 12 ,"R","t","D","y", 2 , 2 , 4 , 1 ,"P","P", 0 ,"winner" 
154 ,"William Gasarch", 7 , 7 , 14 ,"W","m","G","a", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
155 ,"Reinhard Blasig", 8 , 6 , 14 ,"R","d","B","l", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
156 ,"Malini Bhandaru", 6 , 8 , 14 ,"M","i","B","h", 3 , 3 , 6 , 0 ,"","", 0 ,"winner" 
157 ,"Robert Schapire", 6 , 8 , 14 ,"R","t","S","c", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
158 ,"Gary M. Selzer", 4 , 6 , 11 ,"G","y","S","r", 1 , 2 , 3 , 1 ,"M","M", 0 ,"winner" 
159 ,"Martinch Krikis", 8 , 6 , 14 ,"M","h","K","r", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
160 ,"John Case", 4 , 4 , 8 ,"J","n","C","a", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
161 ,"Lance Fortnow", 5 , 7 , 12 ,"L","e","F","o", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
162 ,"Lorien Y. Pratt", 6 , 5 , 12 ,"L","n","P","t", 2 , 1 , 3 , 1 ,"Y","Y", 0 ,"winner" 
163 ,"Haralabos Athanassiou", 9 , 11 , 20 ,"H","s","A","t", 4 , 3 , 7 , 0 ,"","", 0 ,"winner" 
164 ,"Paul Fischer", 4 , 7 , 11 ,"P","l","F","i", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
165 ,"Hal Duncan", 3 , 6 , 9 ,"H","l","D","u", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
166 ,"Von-Wun Soo", 7 , 3 , 10 ,"V","n","S","o", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
167 ,"Bill Byrne", 4 , 5 , 9 ,"B","l","B","y", 1 , 1 , 2 , 0 ,"","", 0 ,"winner" 
168 ,"Creed Bratton", 5 , 7 , 12 ,"C","d","B","r", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
169 ,"Minoru Asada", 6 , 5 , 11 ,"M","u","A","s", 3 , 2 , 5 , 0 ,"","", 0 ,"winner" 
170 ,"Tom M. Mitchell", 3 , 8 , 12 ,"T","m","M","l", 1 , 2 , 3 , 1 ,"M","M", 0 ,"winner" 
171 ,"Jean-Daniel Zucker", 11 , 6 , 17 ,"J","l","Z","u", 3 , 2 , 5 , 0 ,"","", 0 ,"winner" 
172 ,"Sonya Snedecor", 5 , 8 , 13 ,"S","a","S","n", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
173 ,"Dana Angluin", 4 , 7 , 11 ,"D","a","A","n", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
174 ,"Wolfgang Maass", 8 , 5 , 13 ,"W","g","M","a", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
175 ,"Marko Grobelnik", 5 , 9 , 14 ,"M","o","G","r", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
176 ,"Mary Soon Lee", 4 , 3 , 11 ,"M","y","L","e", 1 , 1 , 3 , 4 ,"S","n", 1 ,"winner" 
177 ,"Mona Singh", 4 , 5 , 9 ,"M","a","S","i", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
178 ,"Justin Boyan", 6 , 5 , 11 ,"J","n","B","o", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
179 ,"Daniel L. Silver", 6 , 6 , 13 ,"D","l","S","r", 2 , 2 , 4 , 1 ,"L","L", 0 ,"winner" 
180 ,"David W. Aha", 5 , 3 , 9 ,"D","d","A","a", 2 , 1 , 3 , 1 ,"W","W", 0 ,"winner" 
181 ,"Robert S. Roos", 6 , 4 , 11 ,"R","t","R","s", 2 , 1 , 3 , 1 ,"S","S", 0 ,"winner" 
182 ,"David Loewenstern", 5 , 11 , 16 ,"D","d","L","o", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
183 ,"John M. Zelle", 4 , 5 , 10 ,"J","n","Z","e", 1 , 2 , 3 , 1 ,"M","M", 0 ,"winner" 
184 ,"Ronitt Rubinfeld", 6 , 9 , 15 ,"R","t","R","u", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
185 ,"Aaron Feigelson", 5 , 9 , 14 ,"A","n","F","e", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
186 ,"Harris Drucker", 6 , 7 , 13 ,"H","s","D","r", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
187 ,"Carla E. Brodley", 5 , 7 , 13 ,"C","a","B","y", 2 , 2 , 4 , 1 ,"E","E", 0 ,"winner" 
188 ,"Maja Mataric", 4 , 7 , 11 ,"M","a","M","a", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
189 ,"Leonard Pitt", 7 , 4 , 11 ,"L","d","P","i", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
190 ,"Long-Ji Lin", 7 , 3 , 10 ,"L","i","L","i", 2 , 1 , 3 , 0 ,"","", 0 ,"winner" 
191 ,"Welton Becket", 6 , 6 , 12 ,"W","n","B","e", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
192 ,"Haym Hirsh", 4 , 5 , 9 ,"H","m","H","i", 1 , 1 , 2 , 0 ,"","", 0 ,"winner" 
193 ,"Hiroshi Motoda", 7 , 6 , 13 ,"H","i","M","o", 3 , 3 , 6 , 0 ,"","", 0 ,"winner" 
194 ,"John Fischer", 4 , 7 , 11 ,"J","n","F","i", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
195 ,"George A. Drastal", 6 , 7 , 14 ,"G","e","D","l", 2 , 2 , 4 , 1 ,"A","A", 0 ,"winner" 
196 ,"William Cohen", 7 , 5 , 12 ,"W","m","C","o", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
197 ,"Jing Peng", 4 , 4 , 8 ,"J","g","P","e", 1 , 1 , 2 , 0 ,"","", 0 ,"winner" 
198 ,"David Haussler", 5 , 8 , 13 ,"D","d","H","a", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
199 ,"Joel Ratsaby", 4 , 7 , 11 ,"J","l","R","a", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
200 ,"Kan Deng", 3 , 4 , 7 ,"K","n","D","e", 1 , 1 , 2 , 0 ,"","", 0 ,"winner" 
201 ,"Russell Greiner", 7 , 7 , 14 ,"R","l","G","r", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
202 ,"Dunja Mladenic", 5 , 8 , 13 ,"D","a","M","l", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
203 ,"Jong-Hoon Oh", 9 , 2 , 11 ,"J","n","O","h", 2 , 0 , 2 , 0 ,"","", 0 ,"winner" 
204 ,"Ken Lang", 3 , 4 , 7 ,"K","n","L","a", 1 , 1 , 2 , 0 ,"","", 0 ,"winner" 
205 ,"Bernhard Pfahringer", 8 , 10 , 18 ,"B","d","P","f", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
206 ,"Ronald L. Rivest", 6 , 6 , 13 ,"R","d","R","t", 2 , 2 , 4 , 1 ,"L","L", 0 ,"winner" 
207 ,"Robert Williamson", 6 , 10 , 16 ,"R","t","W","i", 2 , 3 , 5 , 0 ,"","", 0 ,"winner" 
208 ,"David Finton", 5 , 6 , 11 ,"D","d","F","i", 2 , 2 , 4 , 0 ,"","", 0 ,"winner" 
209 ,"Mark Staley", 4 , 6 , 10 ,"M","k","S","t", 1 , 2 , 3 , 0 ,"","", 0 ,"winner" 
210 ,"Filippo Neri", 7 , 4 , 11 ,"F","o","N","e", 3 , 2 , 5 , 0 ,"","", 0 ,"winner" 
211 ,"Jonathan Hodgson", 8 , 7 , 15 ,"J","n","H","o", 3 , 2 , 5 , 0 ,"","", 0 ,"winner" 
212 ,"Dennis F. Kibler", 6 , 6 , 13 ,"D","s","K","r", 2 , 2 , 4 , 1 ,"F","F", 0 ,"winner" 
213 ,"Michael J. Donahue", 7 , 7 , 15 ,"M","l","D","e", 2 , 3 , 5 , 1 ,"J","J", 0 ,"winner" 
214 ,"Ed Pednault", 2 , 8 , 10 ,"E","d","P","e", 0 , 2 , 2 , 0 ,"","", 0 ,"loser" 
215 ,"Arlindo Oliveira", 7 , 8 , 15 ,"A","o","O","l", 2 , 3 , 5 , 0 ,"","", 0 ,"loser" 
216 ,"Irina Tchoumatchenko", 5 , 14 , 19 ,"I","a","T","c", 2 , 4 , 6 , 0 ,"","", 0 ,"loser" 
217 ,"Thomas E. Kammeyer", 6 , 8 , 15 ,"T","s","K","r", 2 , 3 , 5 , 1 ,"E","E", 0 ,"loser" 
218 ,"R. Andrew McCallum", 2 , 8 , 16 ,"R", 0 ,"M","m", 0 , 2 , 3 , 6 ,"A","w", 1 ,"loser" 
219 ,"Bhaskar Dasgupta", 7 , 8 , 15 ,"B","r","D","a", 2 , 3 , 5 , 0 ,"","", 0 ,"loser" 
220 ,"Wray Buntine", 4 , 7 , 11 ,"W","y","B","u", 1 , 3 , 4 , 0 ,"","", 0 ,"loser" 
221 ,"Chris Drummond", 5 , 8 , 13 ,"C","s","D","r", 1 , 2 , 3 , 0 ,"","", 0 ,"loser" 
222 ,"Claude Sammut", 6 , 6 , 12 ,"C","e","S","a", 2 , 2 , 4 , 0 ,"","", 0 ,"loser" 
223 ,"Charles X. Ling", 7 , 4 , 12 ,"C","s","L","g", 2 , 1 , 3 , 1 ,"X","X", 0 ,"loser" 
224 ,"Stefan Kramer", 6 , 6 , 12 ,"S","n","K","r", 2 , 2 , 4 , 0 ,"","", 0 ,"loser" 
225 ,"Cristina Baroglio", 8 , 8 , 16 ,"C","a","B","a", 3 , 3 , 6 , 0 ,"","", 0 ,"loser" 
226 ,"Philip Chan", 6 , 4 , 10 ,"P","p","C","h", 2 , 1 , 3 , 0 ,"","", 0 ,"loser" 
227 ,"Attilio Giordana", 7 , 8 , 15 ,"A","o","G","i", 2 , 3 , 5 , 0 ,"","", 0 ,"loser" 
228 ,"Thomas Zeugmann", 6 , 8 , 14 ,"T","s","Z","e", 2 , 2 , 4 , 0 ,"","", 0 ,"loser" 
229 ,"Shaul Markovitch", 5 , 10 , 15 ,"S","l","M","a", 1 , 3 , 4 , 0 ,"","", 0 ,"loser" 
230 ,"Eric Allender", 4 , 8 , 12 ,"E","c","A","l", 1 , 2 , 3 , 0 ,"","", 0 ,"loser" 
231 ,"Bruce A. MacDonald", 5 , 9 , 15 ,"B","e","M","d", 2 , 3 , 5 , 1 ,"A","A", 0 ,"loser" 
232 ,"Craig Knoblock", 5 , 8 , 13 ,"C","g","K","n", 1 , 2 , 3 , 0 ,"","", 0 ,"loser" 
233 ,"Prasad Tadepalli", 6 , 9 , 15 ,"P","d","T","a", 2 , 4 , 6 , 0 ,"","", 0 ,"loser" 
234 ,"Stan Matwin", 4 , 6 , 10 ,"S","n","M","a", 1 , 2 , 3 , 0 ,"","", 0 ,"loser" 
235 ,"Stephen Kwek", 7 , 4 , 11 ,"S","n","K","w", 2 , 1 , 3 , 0 ,"","", 0 ,"loser" 
236 ,"J. R. Quinlan", 2 , 7 , 10 ,"J", 0 ,"Q","n", 0 , 2 , 2 , 1 ,"R","R", 0 ,"loser" 
237 ,"Priscilla Rasmussen", 9 , 9 , 18 ,"P","a","R","a", 3 , 3 , 6 , 0 ,"","", 0 ,"loser" 
238 ,"Steven Minton", 6 , 6 , 12 ,"S","n","M","i", 2 , 2 , 4 , 0 ,"","", 0 ,"loser" 
239 ,"Claudio Facchinetti", 7 , 11 , 18 ,"C","o","F","a", 2 , 4 , 6 , 0 ,"","", 0 ,"loser" 
240 ,"Shai Ben-David", 4 , 9 , 13 ,"S","i","B","e", 1 , 3 , 4 , 0 ,"","", 0 ,"loser" 
241 ,"Anselm Blumer", 6 , 6 , 12 ,"A","m","B","l", 1 , 2 , 3 , 0 ,"","", 0 ,"loser" 
242 ,"Steven W. Norton", 6 , 6 , 13 ,"S","n","N","n", 2 , 2 , 4 , 1 ,"W","W", 0 ,"loser" 
243 ,"R. Bharat Rao", 2 , 3 , 11 ,"R", 0 ,"R","o", 0 , 1 , 3 , 6 ,"B","t", 2 ,"loser" 
244 ,"J. Jeffrey Mahoney", 2 , 7 , 16 ,"J", 0 ,"M","y", 0 , 3 , 5 , 7 ,"J","y", 2 ,"loser" 
245 ,"Thomas G. Dietterich", 6 , 10 , 17 ,"T","s","D","h", 2 , 3 , 5 , 1 ,"G","G", 0 ,"loser" 
246 ,"Phil Long", 4 , 4 , 8 ,"P","l","L","o", 1 , 1 , 2 , 0 ,"","", 0 ,"loser" 
247 ,"Krishnan Pillaipakkamnatt", 8 , 16 , 24 ,"K","n","P","i", 2 , 5 , 7 , 0 ,"","", 0 ,"loser" 
248 ,"Usama Fayyad", 5 , 6 , 11 ,"U","a","F","a", 2 , 2 , 4 , 0 ,"","", 0 ,"loser" 
249 ,"Grigoris Karakoulas", 8 , 10 , 18 ,"G","s","K","a", 3 , 4 , 7 , 0 ,"","", 0 ,"loser" 
250 ,"Drago Indjic", 5 , 6 , 11 ,"D","o","I","n", 2 , 1 , 3 , 0 ,"","", 0 ,"loser" 
251 ,"Frank Stephan", 5 , 7 , 12 ,"F","k","S","t", 1 , 2 , 3 , 0 ,"","", 0 ,"loser" 
252 ,"Claire Cardie", 6 , 6 , 12 ,"C","e","C","a", 2 , 2 , 4 , 0 ,"","", 0 ,"loser" 
253 ,"Andrey Burago", 6 , 6 , 12 ,"A","y","B","u", 1 , 3 , 4 , 0 ,"","", 0 ,"loser" 
254 ,"Eddy Mayoraz", 4 , 7 , 11 ,"E","y","M","a", 0 , 3 , 3 , 0 ,"","", 0 ,"loser" 
255 ,"Lyle H. Ungar", 4 , 5 , 10 ,"L","e","U","r", 1 , 1 , 2 , 1 ,"H","H", 0 ,"loser" 
256 ,"Thomas Wengerek", 6 , 8 , 14 ,"T","s","W","e", 2 , 3 , 5 , 0 ,"","", 0 ,"loser" 
257 ,"Steven Salzberg", 6 , 8 , 14 ,"S","n","S","a", 2 , 2 , 4 , 0 ,"","", 0 ,"loser" 
258 ,"Chris Darken", 5 , 6 , 11 ,"C","s","D","a", 1 , 2 , 3 , 0 ,"","", 0 ,"loser" 
259 ,"Oded Maron", 4 , 5 , 9 ,"O","d","M","a", 1 , 2 , 3 , 0 ,"","", 0 ,"loser" 
260 ,"Chun-Nan Hsu", 8 , 3 , 11 ,"C","n","H","s", 2 , 1 , 3 , 0 ,"","", 0 ,"loser" 
261 ,"Jyrki Kivinen", 5 , 7 , 12 ,"J","i","K","i", 1 , 3 , 4 , 0 ,"","", 0 ,"loser" 
262 ,"Steve A. Chien", 5 , 5 , 11 ,"S","e","C","n", 2 , 1 , 3 , 1 ,"A","A", 0 ,"loser" 
263 ,"Stephen Muggleton", 7 , 9 , 16 ,"S","n","M","u", 2 , 3 , 5 , 0 ,"","", 0 ,"loser" 
